date,text,sentiment,value,change,series_id,indicator_name
2005-10-01,Real Gross Private Domestic Investment remained unchanged at $30.14 million Billions in 2005-10-01.,neutral,30144.0,0.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2006-01-01,Real Gross Private Domestic Investment increased by 420.00 Billions to $30.56 million Billions in 2006-01-01.,positive,30564.0,420.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2006-04-01,Real Gross Private Domestic Investment increased by 359.00 Billions to $30.92 million Billions in 2006-04-01.,positive,30923.0,359.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2006-07-01,Real Gross Private Domestic Investment increased by 342.00 Billions to $31.27 million Billions in 2006-07-01.,positive,31265.0,342.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2006-10-01,Real Gross Private Domestic Investment increased by 165.00 Billions to $31.43 million Billions in 2006-10-01.,positive,31430.0,165.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2007-01-01,Real Gross Private Domestic Investment increased by 412.00 Billions to $31.84 million Billions in 2007-01-01.,positive,31842.0,412.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2007-04-01,Real Gross Private Domestic Investment increased by 283.00 Billions to $32.12 million Billions in 2007-04-01.,positive,32125.0,283.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2007-07-01,Real Gross Private Domestic Investment increased by 313.00 Billions to $32.44 million Billions in 2007-07-01.,positive,32438.0,313.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2007-10-01,Real Gross Private Domestic Investment increased by 376.00 Billions to $32.81 million Billions in 2007-10-01.,positive,32814.0,376.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2008-01-01,Real Gross Private Domestic Investment increased by 150.00 Billions to $32.96 million Billions in 2008-01-01.,positive,32964.0,150.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2008-04-01,Real Gross Private Domestic Investment increased by 340.00 Billions to $33.30 million Billions in 2008-04-01.,positive,33304.0,340.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2008-07-01,Real Gross Private Domestic Investment increased by 15.00 Billions to $33.32 million Billions in 2008-07-01.,neutral,33319.0,15.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2008-10-01,Real Gross Private Domestic Investment decreased by 903.00 Billions to $32.42 million Billions in 2008-10-01.,negative,32416.0,-903.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2009-01-01,Real Gross Private Domestic Investment decreased by 366.00 Billions to $32.05 million Billions in 2009-01-01.,negative,32050.0,-366.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2009-04-01,Real Gross Private Domestic Investment decreased by 96.00 Billions to $31.95 million Billions in 2009-04-01.,negative,31954.0,-96.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2009-07-01,Real Gross Private Domestic Investment increased by 362.00 Billions to $32.32 million Billions in 2009-07-01.,positive,32316.0,362.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2009-10-01,Real Gross Private Domestic Investment increased by 138.00 Billions to $32.45 million Billions in 2009-10-01.,positive,32454.0,138.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2010-01-01,Real Gross Private Domestic Investment increased by 248.00 Billions to $32.70 million Billions in 2010-01-01.,positive,32702.0,248.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2010-04-01,Real Gross Private Domestic Investment increased by 282.00 Billions to $32.98 million Billions in 2010-04-01.,positive,32984.0,282.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2010-07-01,Real Gross Private Domestic Investment increased by 228.00 Billions to $33.21 million Billions in 2010-07-01.,positive,33212.0,228.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2010-10-01,Real Gross Private Domestic Investment increased by 346.00 Billions to $33.56 million Billions in 2010-10-01.,positive,33558.0,346.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2011-01-01,Real Gross Private Domestic Investment increased by 350.00 Billions to $33.91 million Billions in 2011-01-01.,positive,33908.0,350.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2011-04-01,Real Gross Private Domestic Investment increased by 307.00 Billions to $34.22 million Billions in 2011-04-01.,positive,34215.0,307.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2011-07-01,Real Gross Private Domestic Investment increased by 189.00 Billions to $34.40 million Billions in 2011-07-01.,positive,34404.0,189.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2011-10-01,Real Gross Private Domestic Investment increased by 102.00 Billions to $34.51 million Billions in 2011-10-01.,positive,34506.0,102.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2012-01-01,Real Gross Private Domestic Investment increased by 417.00 Billions to $34.92 million Billions in 2012-01-01.,positive,34923.0,417.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2012-04-01,Real Gross Private Domestic Investment increased by 83.00 Billions to $35.01 million Billions in 2012-04-01.,positive,35006.0,83.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2012-07-01,Real Gross Private Domestic Investment increased by 100.00 Billions to $35.11 million Billions in 2012-07-01.,positive,35106.0,100.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2012-10-01,Real Gross Private Domestic Investment increased by 264.00 Billions to $35.37 million Billions in 2012-10-01.,positive,35370.0,264.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2013-01-01,Real Gross Private Domestic Investment increased by 297.00 Billions to $35.67 million Billions in 2013-01-01.,positive,35667.0,297.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2013-04-01,Real Gross Private Domestic Investment increased by 59.00 Billions to $35.73 million Billions in 2013-04-01.,positive,35726.0,59.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2013-07-01,Real Gross Private Domestic Investment increased by 218.00 Billions to $35.94 million Billions in 2013-07-01.,positive,35944.0,218.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2013-10-01,Real Gross Private Domestic Investment increased by 372.00 Billions to $36.32 million Billions in 2013-10-01.,positive,36316.0,372.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2014-01-01,Real Gross Private Domestic Investment increased by 233.00 Billions to $36.55 million Billions in 2014-01-01.,positive,36549.0,233.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
2014-04-01,Real Gross Private Domestic Investment increased by 448.00 Billions to $37.00 million Billions in 2014-04-01.,positive,36997.0,448.0,A794RC0Q052SBEA,Real Gross Private Domestic Investment
