date,text,sentiment,value,change,series_id,indicator_name
2005-10-01,Real Gross Domestic Product: Imports of Goods remained unchanged at $2.58 million Billions in 2005-10-01.,positive,2578.309,0.0,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2006-01-01,Real Gross Domestic Product: Imports of Goods increased by 24.58 Billions to $2.60 million Billions in 2006-01-01.,positive,2602.888,24.578999999999724,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2006-04-01,Real Gross Domestic Product: Imports of Goods decreased by 7.39 Billions to $2.60 million Billions in 2006-04-01.,neutral,2595.501,-7.386999999999716,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2006-07-01,Real Gross Domestic Product: Imports of Goods increased by 3.68 Billions to $2.60 million Billions in 2006-07-01.,positive,2599.186,3.6849999999999454,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2006-10-01,Real Gross Domestic Product: Imports of Goods increased by 22.07 Billions to $2.62 million Billions in 2006-10-01.,positive,2621.251,22.065000000000055,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2007-01-01,Real Gross Domestic Product: Imports of Goods increased by 1.09 Billions to $2.62 million Billions in 2007-01-01.,positive,2622.339,1.087999999999738,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2007-04-01,Real Gross Domestic Product: Imports of Goods increased by 16.78 Billions to $2.64 million Billions in 2007-04-01.,positive,2639.122,16.7829999999999,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2007-07-01,Real Gross Domestic Product: Imports of Goods increased by 13.23 Billions to $2.65 million Billions in 2007-07-01.,positive,2652.352,13.230000000000018,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2007-10-01,Real Gross Domestic Product: Imports of Goods increased by 18.29 Billions to $2.67 million Billions in 2007-10-01.,positive,2670.644,18.291999999999916,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2008-01-01,Real Gross Domestic Product: Imports of Goods increased by 9.82 Billions to $2.68 million Billions in 2008-01-01.,positive,2680.464,9.820000000000164,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2008-04-01,Real Gross Domestic Product: Imports of Goods increased by 15.81 Billions to $2.70 million Billions in 2008-04-01.,positive,2696.274,15.809999999999944,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2008-07-01,Real Gross Domestic Product: Imports of Goods increased by 22.93 Billions to $2.72 million Billions in 2008-07-01.,positive,2719.207,22.932999999999993,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2008-10-01,Real Gross Domestic Product: Imports of Goods increased by 27.86 Billions to $2.75 million Billions in 2008-10-01.,positive,2747.069,27.86200000000008,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2009-01-01,Real Gross Domestic Product: Imports of Goods increased by 42.66 Billions to $2.79 million Billions in 2009-01-01.,neutral,2789.729,42.659999999999854,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2009-04-01,Real Gross Domestic Product: Imports of Goods increased by 39.22 Billions to $2.83 million Billions in 2009-04-01.,positive,2828.947,39.2180000000003,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2009-07-01,Real Gross Domestic Product: Imports of Goods increased by 6.93 Billions to $2.84 million Billions in 2009-07-01.,positive,2835.881,6.933999999999742,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2009-10-01,Real Gross Domestic Product: Imports of Goods increased by 13.27 Billions to $2.85 million Billions in 2009-10-01.,positive,2849.154,13.273000000000138,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
2010-01-01,Real Gross Domestic Product: Imports of Goods decreased by 5.32 Billions to $2.84 million Billions in 2010-01-01.,neutral,2843.832,-5.322000000000116,A955RX1Q020SBEA,Real Gross Domestic Product: Imports of Goods
