date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Trade Balance remained unchanged at $-64.57 million Millions in 2005-12-01.,neutral,-64568.0,0.0,BOPGSTB,Trade Balance
2006-01-01,Trade Balance decreased by 2399.00 Millions to $-66.97 million Millions in 2006-01-01.,neutral,-66967.0,-2399.0,BOPGSTB,Trade Balance
2006-02-01,Trade Balance increased by 4659.00 Millions to $-62.31 million Millions in 2006-02-01.,neutral,-62308.0,4659.0,BOPGSTB,Trade Balance
2006-03-01,Trade Balance decreased by 89.00 Millions to $-62.40 million Millions in 2006-03-01.,neutral,-62397.0,-89.0,BOPGSTB,Trade Balance
2006-04-01,Trade Balance decreased by 206.00 Millions to $-62.60 million Millions in 2006-04-01.,neutral,-62603.0,-206.0,BOPGSTB,Trade Balance
2006-05-01,Trade Balance decreased by 2215.00 Millions to $-64.82 million Millions in 2006-05-01.,neutral,-64818.0,-2215.0,BOPGSTB,Trade Balance
2006-06-01,Trade Balance increased by 1018.00 Millions to $-63.80 million Millions in 2006-06-01.,neutral,-63800.0,1018.0,BOPGSTB,Trade Balance
2006-07-01,Trade Balance decreased by 3109.00 Millions to $-66.91 million Millions in 2006-07-01.,neutral,-66909.0,-3109.0,BOPGSTB,Trade Balance
2006-08-01,Trade Balance decreased by 1368.00 Millions to $-68.28 million Millions in 2006-08-01.,neutral,-68277.0,-1368.0,BOPGSTB,Trade Balance
2006-09-01,Trade Balance increased by 3182.00 Millions to $-65.09 million Millions in 2006-09-01.,neutral,-65095.0,3182.0,BOPGSTB,Trade Balance
2006-10-01,Trade Balance increased by 5557.00 Millions to $-59.54 million Millions in 2006-10-01.,positive,-59538.0,5557.0,BOPGSTB,Trade Balance
2006-11-01,Trade Balance increased by 599.00 Millions to $-58.94 million Millions in 2006-11-01.,neutral,-58939.0,599.0,BOPGSTB,Trade Balance
2006-12-01,Trade Balance decreased by 2943.00 Millions to $-61.88 million Millions in 2006-12-01.,neutral,-61882.0,-2943.0,BOPGSTB,Trade Balance
2007-01-01,Trade Balance increased by 3868.00 Millions to $-58.01 million Millions in 2007-01-01.,neutral,-58014.0,3868.0,BOPGSTB,Trade Balance
2007-02-01,Trade Balance decreased by 465.00 Millions to $-58.48 million Millions in 2007-02-01.,neutral,-58479.0,-465.0,BOPGSTB,Trade Balance
2007-03-01,Trade Balance decreased by 3704.00 Millions to $-62.18 million Millions in 2007-03-01.,neutral,-62183.0,-3704.0,BOPGSTB,Trade Balance
2007-04-01,Trade Balance increased by 1689.00 Millions to $-60.49 million Millions in 2007-04-01.,neutral,-60494.0,1689.0,BOPGSTB,Trade Balance
2007-05-01,Trade Balance increased by 922.00 Millions to $-59.57 million Millions in 2007-05-01.,neutral,-59572.0,922.0,BOPGSTB,Trade Balance
2007-06-01,Trade Balance decreased by 425.00 Millions to $-60.00 million Millions in 2007-06-01.,neutral,-59997.0,-425.0,BOPGSTB,Trade Balance
2007-07-01,Trade Balance decreased by 249.00 Millions to $-60.25 million Millions in 2007-07-01.,neutral,-60246.0,-249.0,BOPGSTB,Trade Balance
2007-08-01,Trade Balance increased by 3032.00 Millions to $-57.21 million Millions in 2007-08-01.,neutral,-57214.0,3032.0,BOPGSTB,Trade Balance
2007-09-01,Trade Balance decreased by 944.00 Millions to $-58.16 million Millions in 2007-09-01.,neutral,-58158.0,-944.0,BOPGSTB,Trade Balance
2007-10-01,Trade Balance increased by 492.00 Millions to $-57.67 million Millions in 2007-10-01.,neutral,-57666.0,492.0,BOPGSTB,Trade Balance
2007-11-01,Trade Balance decreased by 3016.00 Millions to $-60.68 million Millions in 2007-11-01.,neutral,-60682.0,-3016.0,BOPGSTB,Trade Balance
2007-12-01,Trade Balance increased by 2392.00 Millions to $-58.29 million Millions in 2007-12-01.,neutral,-58290.0,2392.0,BOPGSTB,Trade Balance
2008-01-01,Trade Balance decreased by 3049.00 Millions to $-61.34 million Millions in 2008-01-01.,neutral,-61339.0,-3049.0,BOPGSTB,Trade Balance
2008-02-01,Trade Balance decreased by 2886.00 Millions to $-64.22 million Millions in 2008-02-01.,neutral,-64225.0,-2886.0,BOPGSTB,Trade Balance
2008-03-01,Trade Balance increased by 4025.00 Millions to $-60.20 million Millions in 2008-03-01.,neutral,-60200.0,4025.0,BOPGSTB,Trade Balance
2008-04-01,Trade Balance decreased by 3533.00 Millions to $-63.73 million Millions in 2008-04-01.,neutral,-63733.0,-3533.0,BOPGSTB,Trade Balance
2008-05-01,Trade Balance increased by 1423.00 Millions to $-62.31 million Millions in 2008-05-01.,neutral,-62310.0,1423.0,BOPGSTB,Trade Balance
2008-06-01,Trade Balance increased by 1421.00 Millions to $-60.89 million Millions in 2008-06-01.,neutral,-60889.0,1421.0,BOPGSTB,Trade Balance
2008-07-01,Trade Balance decreased by 6100.00 Millions to $-66.99 million Millions in 2008-07-01.,negative,-66989.0,-6100.0,BOPGSTB,Trade Balance
