date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Total Business Inventories remained unchanged at $1.30 billion Millions in 2005-12-01.,neutral,1303339.0,0.0,BUSINV,Total Business Inventories
2006-01-01,Total Business Inventories increased by 9593.00 Millions to $1.31 billion Millions in 2006-01-01.,positive,1312932.0,9593.0,BUSINV,Total Business Inventories
2006-02-01,Total Business Inventories increased by 3902.00 Millions to $1.32 billion Millions in 2006-02-01.,positive,1316834.0,3902.0,BUSINV,Total Business Inventories
2006-03-01,Total Business Inventories increased by 11469.00 Millions to $1.33 billion Millions in 2006-03-01.,neutral,1328303.0,11469.0,BUSINV,Total Business Inventories
2006-04-01,Total Business Inventories increased by 10719.00 Millions to $1.34 billion Millions in 2006-04-01.,neutral,1339022.0,10719.0,BUSINV,Total Business Inventories
2006-05-01,Total Business Inventories increased by 13651.00 Millions to $1.35 billion Millions in 2006-05-01.,neutral,1352673.0,13651.0,BUSINV,Total Business Inventories
2006-06-01,Total Business Inventories increased by 10509.00 Millions to $1.36 billion Millions in 2006-06-01.,neutral,1363182.0,10509.0,BUSINV,Total Business Inventories
2006-07-01,Total Business Inventories increased by 8021.00 Millions to $1.37 billion Millions in 2006-07-01.,positive,1371203.0,8021.0,BUSINV,Total Business Inventories
2006-08-01,Total Business Inventories increased by 9139.00 Millions to $1.38 billion Millions in 2006-08-01.,positive,1380342.0,9139.0,BUSINV,Total Business Inventories
2006-09-01,Total Business Inventories increased by 5671.00 Millions to $1.39 billion Millions in 2006-09-01.,positive,1386013.0,5671.0,BUSINV,Total Business Inventories
2006-10-01,Total Business Inventories increased by 5340.00 Millions to $1.39 billion Millions in 2006-10-01.,positive,1391353.0,5340.0,BUSINV,Total Business Inventories
2006-11-01,Total Business Inventories increased by 4576.00 Millions to $1.40 billion Millions in 2006-11-01.,positive,1395929.0,4576.0,BUSINV,Total Business Inventories
2006-12-01,Total Business Inventories increased by 3166.00 Millions to $1.40 billion Millions in 2006-12-01.,positive,1399095.0,3166.0,BUSINV,Total Business Inventories
2007-01-01,Total Business Inventories increased by 2471.00 Millions to $1.40 billion Millions in 2007-01-01.,positive,1401566.0,2471.0,BUSINV,Total Business Inventories
2007-02-01,Total Business Inventories increased by 6612.00 Millions to $1.41 billion Millions in 2007-02-01.,positive,1408178.0,6612.0,BUSINV,Total Business Inventories
2007-03-01,Total Business Inventories increased by 2052.00 Millions to $1.41 billion Millions in 2007-03-01.,positive,1410230.0,2052.0,BUSINV,Total Business Inventories
2007-04-01,Total Business Inventories increased by 8880.00 Millions to $1.42 billion Millions in 2007-04-01.,positive,1419110.0,8880.0,BUSINV,Total Business Inventories
2007-05-01,Total Business Inventories increased by 7873.00 Millions to $1.43 billion Millions in 2007-05-01.,positive,1426983.0,7873.0,BUSINV,Total Business Inventories
2007-06-01,Total Business Inventories increased by 6862.00 Millions to $1.43 billion Millions in 2007-06-01.,positive,1433845.0,6862.0,BUSINV,Total Business Inventories
2007-07-01,Total Business Inventories increased by 2954.00 Millions to $1.44 billion Millions in 2007-07-01.,positive,1436799.0,2954.0,BUSINV,Total Business Inventories
2007-08-01,Total Business Inventories increased by 4241.00 Millions to $1.44 billion Millions in 2007-08-01.,positive,1441040.0,4241.0,BUSINV,Total Business Inventories
2007-09-01,Total Business Inventories increased by 9943.00 Millions to $1.45 billion Millions in 2007-09-01.,positive,1450983.0,9943.0,BUSINV,Total Business Inventories
2007-10-01,Total Business Inventories increased by 4062.00 Millions to $1.46 billion Millions in 2007-10-01.,positive,1455045.0,4062.0,BUSINV,Total Business Inventories
2007-11-01,Total Business Inventories increased by 9638.00 Millions to $1.46 billion Millions in 2007-11-01.,positive,1464683.0,9638.0,BUSINV,Total Business Inventories
2007-12-01,Total Business Inventories increased by 12879.00 Millions to $1.48 billion Millions in 2007-12-01.,neutral,1477562.0,12879.0,BUSINV,Total Business Inventories
2008-01-01,Total Business Inventories increased by 11463.00 Millions to $1.49 billion Millions in 2008-01-01.,neutral,1489025.0,11463.0,BUSINV,Total Business Inventories
2008-02-01,Total Business Inventories increased by 6881.00 Millions to $1.50 billion Millions in 2008-02-01.,positive,1495906.0,6881.0,BUSINV,Total Business Inventories
2008-03-01,Total Business Inventories increased by 982.00 Millions to $1.50 billion Millions in 2008-03-01.,positive,1496888.0,982.0,BUSINV,Total Business Inventories
2008-04-01,Total Business Inventories increased by 6380.00 Millions to $1.50 billion Millions in 2008-04-01.,positive,1503268.0,6380.0,BUSINV,Total Business Inventories
2008-05-01,Total Business Inventories increased by 2836.00 Millions to $1.51 billion Millions in 2008-05-01.,positive,1506104.0,2836.0,BUSINV,Total Business Inventories
