date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Consumer Price Index remained unchanged at 198.10 Percent in 2005-12-01.,neutral,198.1,0.0,CPIAUCSL,Consumer Price Index
2006-01-01,Consumer Price Index increased by 1.20 Percent to 199.30 Percent in 2006-01-01.,neutral,199.3,1.200000000000017,CPIAUCSL,Consumer Price Index
2006-02-01,Consumer Price Index increased by 0.10 Percent to 199.40 Percent in 2006-02-01.,neutral,199.4,0.0999999999999943,CPIAUCSL,Consumer Price Index
2006-03-01,Consumer Price Index increased by 0.30 Percent to 199.70 Percent in 2006-03-01.,neutral,199.7,0.2999999999999829,CPIAUCSL,Consumer Price Index
2006-04-01,Consumer Price Index increased by 1.00 Percent to 200.70 Percent in 2006-04-01.,neutral,200.7,1.0,CPIAUCSL,Consumer Price Index
2006-05-01,Consumer Price Index increased by 0.60 Percent to 201.30 Percent in 2006-05-01.,neutral,201.3,0.6000000000000227,CPIAUCSL,Consumer Price Index
2006-06-01,Consumer Price Index increased by 0.50 Percent to 201.80 Percent in 2006-06-01.,neutral,201.8,0.5,CPIAUCSL,Consumer Price Index
2006-07-01,Consumer Price Index increased by 1.10 Percent to 202.90 Percent in 2006-07-01.,neutral,202.9,1.0999999999999943,CPIAUCSL,Consumer Price Index
2006-08-01,Consumer Price Index increased by 0.90 Percent to 203.80 Percent in 2006-08-01.,neutral,203.8,0.9000000000000057,CPIAUCSL,Consumer Price Index
2006-09-01,Consumer Price Index decreased by 1.00 Percent to 202.80 Percent in 2006-09-01.,negative,202.8,-1.0,CPIAUCSL,Consumer Price Index
2006-10-01,Consumer Price Index decreased by 0.90 Percent to 201.90 Percent in 2006-10-01.,negative,201.9,-0.9000000000000057,CPIAUCSL,Consumer Price Index
2006-11-01,Consumer Price Index increased by 0.10 Percent to 202.00 Percent in 2006-11-01.,neutral,202.0,0.0999999999999943,CPIAUCSL,Consumer Price Index
2006-12-01,Consumer Price Index increased by 1.10 Percent to 203.10 Percent in 2006-12-01.,neutral,203.1,1.0999999999999943,CPIAUCSL,Consumer Price Index
2007-01-01,Consumer Price Index increased by 0.34 Percent to 203.44 Percent in 2007-01-01.,neutral,203.437,0.3370000000000175,CPIAUCSL,Consumer Price Index
2007-02-01,Consumer Price Index increased by 0.79 Percent to 204.23 Percent in 2007-02-01.,neutral,204.226,0.7889999999999873,CPIAUCSL,Consumer Price Index
2007-03-01,Consumer Price Index increased by 1.06 Percent to 205.29 Percent in 2007-03-01.,neutral,205.288,1.0620000000000118,CPIAUCSL,Consumer Price Index
2007-04-01,Consumer Price Index increased by 0.62 Percent to 205.90 Percent in 2007-04-01.,neutral,205.904,0.6159999999999854,CPIAUCSL,Consumer Price Index
2007-05-01,Consumer Price Index increased by 0.85 Percent to 206.75 Percent in 2007-05-01.,neutral,206.755,0.8509999999999991,CPIAUCSL,Consumer Price Index
2007-06-01,Consumer Price Index increased by 0.48 Percent to 207.23 Percent in 2007-06-01.,neutral,207.234,0.4790000000000134,CPIAUCSL,Consumer Price Index
2007-07-01,Consumer Price Index increased by 0.37 Percent to 207.60 Percent in 2007-07-01.,neutral,207.603,0.3689999999999998,CPIAUCSL,Consumer Price Index
2007-08-01,Consumer Price Index increased by 0.06 Percent to 207.67 Percent in 2007-08-01.,neutral,207.667,0.0639999999999929,CPIAUCSL,Consumer Price Index
2007-09-01,Consumer Price Index increased by 0.88 Percent to 208.55 Percent in 2007-09-01.,neutral,208.547,0.8799999999999955,CPIAUCSL,Consumer Price Index
2007-10-01,Consumer Price Index increased by 0.64 Percent to 209.19 Percent in 2007-10-01.,neutral,209.19,0.6430000000000007,CPIAUCSL,Consumer Price Index
2007-11-01,Consumer Price Index increased by 1.64 Percent to 210.83 Percent in 2007-11-01.,positive,210.834,1.6440000000000057,CPIAUCSL,Consumer Price Index
2007-12-01,Consumer Price Index increased by 0.61 Percent to 211.44 Percent in 2007-12-01.,neutral,211.445,0.61099999999999,CPIAUCSL,Consumer Price Index
2008-01-01,Consumer Price Index increased by 0.73 Percent to 212.17 Percent in 2008-01-01.,neutral,212.174,0.7290000000000134,CPIAUCSL,Consumer Price Index
2008-02-01,Consumer Price Index increased by 0.51 Percent to 212.69 Percent in 2008-02-01.,neutral,212.687,0.5130000000000052,CPIAUCSL,Consumer Price Index
2008-03-01,Consumer Price Index increased by 0.76 Percent to 213.45 Percent in 2008-03-01.,neutral,213.448,0.7609999999999957,CPIAUCSL,Consumer Price Index
2008-04-01,Consumer Price Index increased by 0.49 Percent to 213.94 Percent in 2008-04-01.,neutral,213.942,0.4939999999999998,CPIAUCSL,Consumer Price Index
2008-05-01,Consumer Price Index increased by 1.27 Percent to 215.21 Percent in 2008-05-01.,neutral,215.208,1.2659999999999911,CPIAUCSL,Consumer Price Index
2008-06-01,Consumer Price Index increased by 2.25 Percent to 217.46 Percent in 2008-06-01.,positive,217.463,2.2549999999999955,CPIAUCSL,Consumer Price Index
2008-07-01,Consumer Price Index increased by 1.55 Percent to 219.02 Percent in 2008-07-01.,positive,219.016,1.5529999999999973,CPIAUCSL,Consumer Price Index
2008-08-01,Consumer Price Index decreased by 0.33 Percent to 218.69 Percent in 2008-08-01.,negative,218.69,-0.3259999999999934,CPIAUCSL,Consumer Price Index
