date,text,sentiment,value,change,series_id,indicator_name
2005-10-01,Government Consumption Expenditures remained unchanged at $1.51 million Billions in 2005-10-01.,neutral,1507.833,0.0,EXPGSC1,Government Consumption Expenditures
2006-01-01,Government Consumption Expenditures increased by 61.15 Billions to $1.57 million Billions in 2006-01-01.,positive,1568.985,61.151999999999816,EXPGSC1,Government Consumption Expenditures
2006-04-01,Government Consumption Expenditures increased by 29.11 Billions to $1.60 million Billions in 2006-04-01.,positive,1598.092,29.1070000000002,EXPGSC1,Government Consumption Expenditures
2006-07-01,Government Consumption Expenditures decreased by 2.06 Billions to $1.60 million Billions in 2006-07-01.,negative,1596.037,-2.0550000000000637,EXPGSC1,Government Consumption Expenditures
2006-10-01,Government Consumption Expenditures increased by 60.54 Billions to $1.66 million Billions in 2006-10-01.,positive,1656.573,60.53600000000006,EXPGSC1,Government Consumption Expenditures
2007-01-01,Government Consumption Expenditures increased by 32.82 Billions to $1.69 million Billions in 2007-01-01.,positive,1689.392,32.81899999999996,EXPGSC1,Government Consumption Expenditures
2007-04-01,Government Consumption Expenditures increased by 25.59 Billions to $1.71 million Billions in 2007-04-01.,positive,1714.981,25.588999999999945,EXPGSC1,Government Consumption Expenditures
2007-07-01,Government Consumption Expenditures increased by 53.61 Billions to $1.77 million Billions in 2007-07-01.,positive,1768.587,53.605999999999995,EXPGSC1,Government Consumption Expenditures
2007-10-01,Government Consumption Expenditures increased by 40.59 Billions to $1.81 million Billions in 2007-10-01.,positive,1809.181,40.59400000000005,EXPGSC1,Government Consumption Expenditures
2008-01-01,Government Consumption Expenditures increased by 28.84 Billions to $1.84 million Billions in 2008-01-01.,positive,1838.024,28.842999999999847,EXPGSC1,Government Consumption Expenditures
2008-04-01,Government Consumption Expenditures increased by 53.98 Billions to $1.89 million Billions in 2008-04-01.,positive,1892.001,53.97700000000009,EXPGSC1,Government Consumption Expenditures
2008-07-01,Government Consumption Expenditures decreased by 8.44 Billions to $1.88 million Billions in 2008-07-01.,negative,1883.563,-8.437999999999874,EXPGSC1,Government Consumption Expenditures
2008-10-01,Government Consumption Expenditures decreased by 110.76 Billions to $1.77 million Billions in 2008-10-01.,negative,1772.8,-110.76300000000016,EXPGSC1,Government Consumption Expenditures
2009-01-01,Government Consumption Expenditures decreased by 141.54 Billions to $1.63 million Billions in 2009-01-01.,negative,1631.257,-141.5429999999999,EXPGSC1,Government Consumption Expenditures
2009-04-01,Government Consumption Expenditures increased by 10.73 Billions to $1.64 million Billions in 2009-04-01.,positive,1641.991,10.733999999999924,EXPGSC1,Government Consumption Expenditures
2009-07-01,Government Consumption Expenditures increased by 60.69 Billions to $1.70 million Billions in 2009-07-01.,positive,1702.68,60.68900000000008,EXPGSC1,Government Consumption Expenditures
