date,text,sentiment,value,change,series_id,indicator_name
2005-10-01,Gross Private Domestic Investment remained unchanged at $2.65 million Billions in 2005-10-01.,neutral,2645.263,0.0,GPDI,Gross Private Domestic Investment
2006-01-01,Gross Private Domestic Investment increased by 64.48 Billions to $2.71 million Billions in 2006-01-01.,positive,2709.74,64.47699999999986,GPDI,Gross Private Domestic Investment
2006-04-01,Gross Private Domestic Investment decreased by 0.49 Billions to $2.71 million Billions in 2006-04-01.,negative,2709.252,-0.487999999999829,GPDI,Gross Private Domestic Investment
2006-07-01,Gross Private Domestic Investment increased by 0.17 Billions to $2.71 million Billions in 2006-07-01.,neutral,2709.42,0.16800000000012,GPDI,Gross Private Domestic Investment
2006-10-01,Gross Private Domestic Investment decreased by 34.01 Billions to $2.68 million Billions in 2006-10-01.,negative,2675.406,-34.014000000000124,GPDI,Gross Private Domestic Investment
2007-01-01,Gross Private Domestic Investment decreased by 11.11 Billions to $2.66 million Billions in 2007-01-01.,negative,2664.295,-11.110999999999876,GPDI,Gross Private Domestic Investment
2007-04-01,Gross Private Domestic Investment increased by 34.92 Billions to $2.70 million Billions in 2007-04-01.,neutral,2699.217,34.922000000000025,GPDI,Gross Private Domestic Investment
2007-07-01,Gross Private Domestic Investment decreased by 13.25 Billions to $2.69 million Billions in 2007-07-01.,negative,2685.969,-13.248000000000047,GPDI,Gross Private Domestic Investment
2007-10-01,Gross Private Domestic Investment decreased by 43.41 Billions to $2.64 million Billions in 2007-10-01.,negative,2642.56,-43.409000000000106,GPDI,Gross Private Domestic Investment
2008-01-01,Gross Private Domestic Investment decreased by 78.86 Billions to $2.56 million Billions in 2008-01-01.,negative,2563.701,-78.85899999999992,GPDI,Gross Private Domestic Investment
2008-04-01,Gross Private Domestic Investment decreased by 23.11 Billions to $2.54 million Billions in 2008-04-01.,negative,2540.595,-23.106000000000225,GPDI,Gross Private Domestic Investment
2008-07-01,Gross Private Domestic Investment decreased by 42.35 Billions to $2.50 million Billions in 2008-07-01.,negative,2498.242,-42.35299999999961,GPDI,Gross Private Domestic Investment
2008-10-01,Gross Private Domestic Investment decreased by 190.33 Billions to $2.31 million Billions in 2008-10-01.,negative,2307.915,-190.32700000000025,GPDI,Gross Private Domestic Investment
2009-01-01,Gross Private Domestic Investment decreased by 293.04 Billions to $2.01 million Billions in 2009-01-01.,negative,2014.878,-293.03700000000003,GPDI,Gross Private Domestic Investment
2009-04-01,Gross Private Domestic Investment decreased by 151.23 Billions to $1.86 million Billions in 2009-04-01.,negative,1863.65,-151.22799999999984,GPDI,Gross Private Domestic Investment
2009-07-01,Gross Private Domestic Investment decreased by 22.23 Billions to $1.84 million Billions in 2009-07-01.,negative,1841.416,-22.23400000000015,GPDI,Gross Private Domestic Investment
2009-10-01,Gross Private Domestic Investment increased by 157.29 Billions to $2.00 million Billions in 2009-10-01.,positive,1998.71,157.2940000000001,GPDI,Gross Private Domestic Investment
2010-01-01,Gross Private Domestic Investment increased by 39.45 Billions to $2.04 million Billions in 2010-01-01.,neutral,2038.161,39.45100000000002,GPDI,Gross Private Domestic Investment
2010-04-01,Gross Private Domestic Investment increased by 110.63 Billions to $2.15 million Billions in 2010-04-01.,positive,2148.795,110.634,GPDI,Gross Private Domestic Investment
2010-07-01,Gross Private Domestic Investment increased by 87.70 Billions to $2.24 million Billions in 2010-07-01.,positive,2236.495,87.69999999999982,GPDI,Gross Private Domestic Investment
2010-10-01,Gross Private Domestic Investment increased by 1.95 Billions to $2.24 million Billions in 2010-10-01.,neutral,2238.44,1.9450000000001637,GPDI,Gross Private Domestic Investment
2011-01-01,Gross Private Domestic Investment decreased by 32.48 Billions to $2.21 million Billions in 2011-01-01.,negative,2205.962,-32.478000000000065,GPDI,Gross Private Domestic Investment
