date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Housing Starts remained unchanged at $1.99 million Thousands in 2005-12-01.,neutral,1994.0,0.0,HOUST,Housing Starts
2006-01-01,Housing Starts increased by 279.00 Thousands to $2.27 million Thousands in 2006-01-01.,positive,2273.0,279.0,HOUST,Housing Starts
2006-02-01,Housing Starts decreased by 154.00 Thousands to $2.12 million Thousands in 2006-02-01.,negative,2119.0,-154.0,HOUST,Housing Starts
2006-03-01,Housing Starts decreased by 150.00 Thousands to $1.97 million Thousands in 2006-03-01.,negative,1969.0,-150.0,HOUST,Housing Starts
2006-04-01,Housing Starts decreased by 148.00 Thousands to $1.82 million Thousands in 2006-04-01.,negative,1821.0,-148.0,HOUST,Housing Starts
2006-05-01,Housing Starts increased by 121.00 Thousands to $1.94 million Thousands in 2006-05-01.,positive,1942.0,121.0,HOUST,Housing Starts
2006-06-01,Housing Starts decreased by 140.00 Thousands to $1.80 million Thousands in 2006-06-01.,negative,1802.0,-140.0,HOUST,Housing Starts
2006-07-01,Housing Starts decreased by 65.00 Thousands to $1.74 million Thousands in 2006-07-01.,negative,1737.0,-65.0,HOUST,Housing Starts
2006-08-01,Housing Starts decreased by 87.00 Thousands to $1.65 million Thousands in 2006-08-01.,negative,1650.0,-87.0,HOUST,Housing Starts
2006-09-01,Housing Starts increased by 70.00 Thousands to $1.72 million Thousands in 2006-09-01.,positive,1720.0,70.0,HOUST,Housing Starts
2006-10-01,Housing Starts decreased by 229.00 Thousands to $1.49 million Thousands in 2006-10-01.,negative,1491.0,-229.0,HOUST,Housing Starts
2006-11-01,Housing Starts increased by 79.00 Thousands to $1.57 million Thousands in 2006-11-01.,positive,1570.0,79.0,HOUST,Housing Starts
2006-12-01,Housing Starts increased by 79.00 Thousands to $1.65 million Thousands in 2006-12-01.,positive,1649.0,79.0,HOUST,Housing Starts
2007-01-01,Housing Starts decreased by 240.00 Thousands to $1.41 million Thousands in 2007-01-01.,negative,1409.0,-240.0,HOUST,Housing Starts
2007-02-01,Housing Starts increased by 71.00 Thousands to $1.48 million Thousands in 2007-02-01.,positive,1480.0,71.0,HOUST,Housing Starts
2007-03-01,Housing Starts increased by 15.00 Thousands to $1.50 million Thousands in 2007-03-01.,positive,1495.0,15.0,HOUST,Housing Starts
2007-04-01,Housing Starts decreased by 5.00 Thousands to $1.49 million Thousands in 2007-04-01.,negative,1490.0,-5.0,HOUST,Housing Starts
2007-05-01,Housing Starts decreased by 75.00 Thousands to $1.42 million Thousands in 2007-05-01.,negative,1415.0,-75.0,HOUST,Housing Starts
2007-06-01,Housing Starts increased by 33.00 Thousands to $1.45 million Thousands in 2007-06-01.,positive,1448.0,33.0,HOUST,Housing Starts
2007-07-01,Housing Starts decreased by 94.00 Thousands to $1.35 million Thousands in 2007-07-01.,negative,1354.0,-94.0,HOUST,Housing Starts
2007-08-01,Housing Starts decreased by 24.00 Thousands to $1.33 million Thousands in 2007-08-01.,negative,1330.0,-24.0,HOUST,Housing Starts
2007-09-01,Housing Starts decreased by 147.00 Thousands to $1.18 million Thousands in 2007-09-01.,negative,1183.0,-147.0,HOUST,Housing Starts
2007-10-01,Housing Starts increased by 81.00 Thousands to $1.26 million Thousands in 2007-10-01.,positive,1264.0,81.0,HOUST,Housing Starts
2007-11-01,Housing Starts decreased by 67.00 Thousands to $1.20 million Thousands in 2007-11-01.,negative,1197.0,-67.0,HOUST,Housing Starts
2007-12-01,Housing Starts decreased by 160.00 Thousands to $1.04 million Thousands in 2007-12-01.,negative,1037.0,-160.0,HOUST,Housing Starts
2008-01-01,Housing Starts increased by 47.00 Thousands to $1.08 million Thousands in 2008-01-01.,positive,1084.0,47.0,HOUST,Housing Starts
2008-02-01,Housing Starts increased by 19.00 Thousands to $1.10 million Thousands in 2008-02-01.,positive,1103.0,19.0,HOUST,Housing Starts
2008-03-01,Housing Starts decreased by 98.00 Thousands to $1.00 million Thousands in 2008-03-01.,negative,1005.0,-98.0,HOUST,Housing Starts
2008-04-01,Housing Starts increased by 8.00 Thousands to $1.01 million Thousands in 2008-04-01.,neutral,1013.0,8.0,HOUST,Housing Starts
2008-05-01,Housing Starts decreased by 40.00 Thousands to 973.00 Thousands in 2008-05-01.,negative,973.0,-40.0,HOUST,Housing Starts
2008-06-01,Housing Starts increased by 73.00 Thousands to $1.05 million Thousands in 2008-06-01.,positive,1046.0,73.0,HOUST,Housing Starts
2008-07-01,Housing Starts decreased by 123.00 Thousands to 923.00 Thousands in 2008-07-01.,negative,923.0,-123.0,HOUST,Housing Starts
2008-08-01,Housing Starts decreased by 79.00 Thousands to 844.00 Thousands in 2008-08-01.,negative,844.0,-79.0,HOUST,Housing Starts
2008-09-01,Housing Starts decreased by 24.00 Thousands to 820.00 Thousands in 2008-09-01.,negative,820.0,-24.0,HOUST,Housing Starts
2008-10-01,Housing Starts decreased by 43.00 Thousands to 777.00 Thousands in 2008-10-01.,negative,777.0,-43.0,HOUST,Housing Starts
