date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Industrial Production Index remained unchanged at 98.05 Percent in 2005-12-01.,neutral,98.0452,0.0,INDPRO,Industrial Production Index
2006-01-01,Industrial Production Index increased by 0.15 Percent to 98.20 Percent in 2006-01-01.,neutral,98.1999,0.1547000000000054,INDPRO,Industrial Production Index
2006-02-01,Industrial Production Index increased by 0.04 Percent to 98.24 Percent in 2006-02-01.,neutral,98.2413,0.0413999999999958,INDPRO,Industrial Production Index
2006-03-01,Industrial Production Index increased by 0.22 Percent to 98.46 Percent in 2006-03-01.,neutral,98.4628,0.221500000000006,INDPRO,Industrial Production Index
2006-04-01,Industrial Production Index increased by 0.30 Percent to 98.76 Percent in 2006-04-01.,neutral,98.7618,0.2989999999999924,INDPRO,Industrial Production Index
2006-05-01,Industrial Production Index increased by 0.03 Percent to 98.79 Percent in 2006-05-01.,neutral,98.7869,0.025100000000009,INDPRO,Industrial Production Index
2006-06-01,Industrial Production Index increased by 0.31 Percent to 99.10 Percent in 2006-06-01.,neutral,99.0997,0.3127999999999957,INDPRO,Industrial Production Index
2006-07-01,Industrial Production Index decreased by 0.05 Percent to 99.05 Percent in 2006-07-01.,negative,99.0489,-0.0507999999999952,INDPRO,Industrial Production Index
2006-08-01,Industrial Production Index increased by 0.43 Percent to 99.48 Percent in 2006-08-01.,neutral,99.4836,0.4346999999999923,INDPRO,Industrial Production Index
2006-09-01,Industrial Production Index decreased by 0.17 Percent to 99.32 Percent in 2006-09-01.,negative,99.3183,-0.165300000000002,INDPRO,Industrial Production Index
2006-10-01,Industrial Production Index decreased by 0.11 Percent to 99.20 Percent in 2006-10-01.,negative,99.2044,-0.1138999999999867,INDPRO,Industrial Production Index
2006-11-01,Industrial Production Index decreased by 0.04 Percent to 99.16 Percent in 2006-11-01.,negative,99.1627,-0.0417000000000058,INDPRO,Industrial Production Index
2006-12-01,Industrial Production Index increased by 1.01 Percent to 100.17 Percent in 2006-12-01.,positive,100.1735,1.0108000000000033,INDPRO,Industrial Production Index
2007-01-01,Industrial Production Index decreased by 0.34 Percent to 99.83 Percent in 2007-01-01.,negative,99.8346,-0.3389000000000095,INDPRO,Industrial Production Index
