date,text,sentiment,value,change,series_id,indicator_name
2020-12-01,Total Nonfarm Payrolls remained unchanged at $142.55 million Thousands in 2020-12-01.,neutral,142548,0.0,PAYEMS,Total Nonfarm Payrolls
2021-01-01,Total Nonfarm Payrolls increased by 365.00 Thousands to $142.91 million Thousands in 2021-01-01.,positive,142913,365.0,PAYEMS,Total Nonfarm Payrolls
2021-02-01,Total Nonfarm Payrolls increased by 509.00 Thousands to $143.42 million Thousands in 2021-02-01.,positive,143422,509.0,PAYEMS,Total Nonfarm Payrolls
2021-03-01,Total Nonfarm Payrolls increased by 824.00 Thousands to $144.25 million Thousands in 2021-03-01.,positive,144246,824.0,PAYEMS,Total Nonfarm Payrolls
2021-04-01,Total Nonfarm Payrolls increased by 365.00 Thousands to $144.61 million Thousands in 2021-04-01.,positive,144611,365.0,PAYEMS,Total Nonfarm Payrolls
2021-05-01,Total Nonfarm Payrolls increased by 421.00 Thousands to $145.03 million Thousands in 2021-05-01.,positive,145032,421.0,PAYEMS,Total Nonfarm Payrolls
2021-06-01,Total Nonfarm Payrolls increased by 796.00 Thousands to $145.83 million Thousands in 2021-06-01.,positive,145828,796.0,PAYEMS,Total Nonfarm Payrolls
2021-07-01,Total Nonfarm Payrolls increased by 931.00 Thousands to $146.76 million Thousands in 2021-07-01.,positive,146759,931.0,PAYEMS,Total Nonfarm Payrolls
2021-08-01,Total Nonfarm Payrolls increased by 487.00 Thousands to $147.25 million Thousands in 2021-08-01.,positive,147246,487.0,PAYEMS,Total Nonfarm Payrolls
2021-09-01,Total Nonfarm Payrolls increased by 466.00 Thousands to $147.71 million Thousands in 2021-09-01.,positive,147712,466.0,PAYEMS,Total Nonfarm Payrolls
2021-10-01,Total Nonfarm Payrolls increased by 857.00 Thousands to $148.57 million Thousands in 2021-10-01.,positive,148569,857.0,PAYEMS,Total Nonfarm Payrolls
2021-11-01,Total Nonfarm Payrolls increased by 637.00 Thousands to $149.21 million Thousands in 2021-11-01.,positive,149206,637.0,PAYEMS,Total Nonfarm Payrolls
2021-12-01,Total Nonfarm Payrolls increased by 575.00 Thousands to $149.78 million Thousands in 2021-12-01.,positive,149781,575.0,PAYEMS,Total Nonfarm Payrolls
2022-01-01,Total Nonfarm Payrolls increased by 225.00 Thousands to $150.01 million Thousands in 2022-01-01.,positive,150006,225.0,PAYEMS,Total Nonfarm Payrolls
2022-02-01,Total Nonfarm Payrolls increased by 869.00 Thousands to $150.88 million Thousands in 2022-02-01.,positive,150875,869.0,PAYEMS,Total Nonfarm Payrolls
2022-03-01,Total Nonfarm Payrolls increased by 471.00 Thousands to $151.35 million Thousands in 2022-03-01.,positive,151346,471.0,PAYEMS,Total Nonfarm Payrolls
2022-04-01,Total Nonfarm Payrolls increased by 305.00 Thousands to $151.65 million Thousands in 2022-04-01.,positive,151651,305.0,PAYEMS,Total Nonfarm Payrolls
