date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Personal Consumption Expenditures: Durable Goods remained unchanged at $1.13 million Billions in 2005-12-01.,neutral,1128.2,0.0,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-01-01,Personal Consumption Expenditures: Durable Goods increased by 39.70 Billions to $1.17 million Billions in 2006-01-01.,positive,1167.9,39.700000000000045,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-02-01,Personal Consumption Expenditures: Durable Goods decreased by 24.40 Billions to $1.14 million Billions in 2006-02-01.,negative,1143.5,-24.40000000000009,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-03-01,Personal Consumption Expenditures: Durable Goods increased by 7.50 Billions to $1.15 million Billions in 2006-03-01.,positive,1151.0,7.5,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-04-01,Personal Consumption Expenditures: Durable Goods remained unchanged at $1.15 million Billions in 2006-04-01.,neutral,1151.0,0.0,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-05-01,Personal Consumption Expenditures: Durable Goods decreased by 3.80 Billions to $1.15 million Billions in 2006-05-01.,negative,1147.2,-3.7999999999999545,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-06-01,Personal Consumption Expenditures: Durable Goods increased by 2.30 Billions to $1.15 million Billions in 2006-06-01.,neutral,1149.5,2.2999999999999545,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-07-01,Personal Consumption Expenditures: Durable Goods increased by 19.20 Billions to $1.17 million Billions in 2006-07-01.,positive,1168.7,19.200000000000045,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-08-01,Personal Consumption Expenditures: Durable Goods decreased by 22.70 Billions to $1.15 million Billions in 2006-08-01.,negative,1146.0,-22.700000000000045,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-09-01,Personal Consumption Expenditures: Durable Goods increased by 20.90 Billions to $1.17 million Billions in 2006-09-01.,positive,1166.9,20.90000000000009,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-10-01,Personal Consumption Expenditures: Durable Goods increased by 1.40 Billions to $1.17 million Billions in 2006-10-01.,neutral,1168.3,1.3999999999998636,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-11-01,Personal Consumption Expenditures: Durable Goods decreased by 3.90 Billions to $1.16 million Billions in 2006-11-01.,negative,1164.4,-3.899999999999864,PCEDG,Personal Consumption Expenditures: Durable Goods
2006-12-01,Personal Consumption Expenditures: Durable Goods increased by 11.10 Billions to $1.18 million Billions in 2006-12-01.,positive,1175.5,11.099999999999907,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-01-01,Personal Consumption Expenditures: Durable Goods increased by 8.00 Billions to $1.18 million Billions in 2007-01-01.,positive,1183.5,8.0,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-02-01,Personal Consumption Expenditures: Durable Goods decreased by 8.40 Billions to $1.18 million Billions in 2007-02-01.,negative,1175.1,-8.400000000000091,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-03-01,Personal Consumption Expenditures: Durable Goods increased by 3.40 Billions to $1.18 million Billions in 2007-03-01.,neutral,1178.5,3.400000000000091,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-04-01,Personal Consumption Expenditures: Durable Goods increased by 2.70 Billions to $1.18 million Billions in 2007-04-01.,neutral,1181.2,2.7000000000000455,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-05-01,Personal Consumption Expenditures: Durable Goods increased by 16.50 Billions to $1.20 million Billions in 2007-05-01.,positive,1197.7,16.5,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-06-01,Personal Consumption Expenditures: Durable Goods decreased by 19.50 Billions to $1.18 million Billions in 2007-06-01.,negative,1178.2,-19.5,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-07-01,Personal Consumption Expenditures: Durable Goods increased by 2.50 Billions to $1.18 million Billions in 2007-07-01.,neutral,1180.7,2.5,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-08-01,Personal Consumption Expenditures: Durable Goods increased by 11.70 Billions to $1.19 million Billions in 2007-08-01.,positive,1192.4,11.700000000000044,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-09-01,Personal Consumption Expenditures: Durable Goods increased by 10.20 Billions to $1.20 million Billions in 2007-09-01.,positive,1202.6,10.199999999999818,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-10-01,Personal Consumption Expenditures: Durable Goods increased by 6.40 Billions to $1.21 million Billions in 2007-10-01.,positive,1209.0,6.400000000000091,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-11-01,Personal Consumption Expenditures: Durable Goods decreased by 11.30 Billions to $1.20 million Billions in 2007-11-01.,negative,1197.7,-11.299999999999956,PCEDG,Personal Consumption Expenditures: Durable Goods
2007-12-01,Personal Consumption Expenditures: Durable Goods decreased by 17.70 Billions to $1.18 million Billions in 2007-12-01.,negative,1180.0,-17.700000000000045,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-01-01,Personal Consumption Expenditures: Durable Goods decreased by 11.60 Billions to $1.17 million Billions in 2008-01-01.,negative,1168.4,-11.599999999999907,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-02-01,Personal Consumption Expenditures: Durable Goods decreased by 20.00 Billions to $1.15 million Billions in 2008-02-01.,negative,1148.4,-20.0,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-03-01,Personal Consumption Expenditures: Durable Goods decreased by 4.70 Billions to $1.14 million Billions in 2008-03-01.,negative,1143.7,-4.7000000000000455,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-04-01,Personal Consumption Expenditures: Durable Goods decreased by 4.60 Billions to $1.14 million Billions in 2008-04-01.,negative,1139.1,-4.600000000000136,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-05-01,Personal Consumption Expenditures: Durable Goods increased by 4.60 Billions to $1.14 million Billions in 2008-05-01.,neutral,1143.7,4.600000000000136,PCEDG,Personal Consumption Expenditures: Durable Goods
2008-06-01,Personal Consumption Expenditures: Durable Goods decreased by 13.30 Billions to $1.13 million Billions in 2008-06-01.,negative,1130.4,-13.299999999999956,PCEDG,Personal Consumption Expenditures: Durable Goods
