date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Personal Consumption Expenditures: Nondurable Goods remained unchanged at $2.00 million Billions in 2005-12-01.,neutral,2004.2,0.0,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-01-01,Personal Consumption Expenditures: Nondurable Goods increased by 37.60 Billions to $2.04 million Billions in 2006-01-01.,positive,2041.8,37.59999999999991,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-02-01,Personal Consumption Expenditures: Nondurable Goods increased by 6.10 Billions to $2.05 million Billions in 2006-02-01.,positive,2047.9,6.100000000000136,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-03-01,Personal Consumption Expenditures: Nondurable Goods decreased by 9.50 Billions to $2.04 million Billions in 2006-03-01.,negative,2038.4,-9.5,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-04-01,Personal Consumption Expenditures: Nondurable Goods increased by 33.70 Billions to $2.07 million Billions in 2006-04-01.,positive,2072.1,33.69999999999982,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-05-01,Personal Consumption Expenditures: Nondurable Goods increased by 4.00 Billions to $2.08 million Billions in 2006-05-01.,positive,2076.1,4.0,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-06-01,Personal Consumption Expenditures: Nondurable Goods increased by 6.20 Billions to $2.08 million Billions in 2006-06-01.,positive,2082.3,6.200000000000273,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-07-01,Personal Consumption Expenditures: Nondurable Goods increased by 34.50 Billions to $2.12 million Billions in 2006-07-01.,positive,2116.8,34.5,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-08-01,Personal Consumption Expenditures: Nondurable Goods increased by 6.20 Billions to $2.12 million Billions in 2006-08-01.,positive,2123.0,6.199999999999818,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-09-01,Personal Consumption Expenditures: Nondurable Goods decreased by 24.10 Billions to $2.10 million Billions in 2006-09-01.,negative,2098.9,-24.09999999999991,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-10-01,Personal Consumption Expenditures: Nondurable Goods decreased by 15.80 Billions to $2.08 million Billions in 2006-10-01.,negative,2083.1,-15.800000000000182,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-11-01,Personal Consumption Expenditures: Nondurable Goods decreased by 11.10 Billions to $2.07 million Billions in 2006-11-01.,negative,2072.0,-11.099999999999907,PCEND,Personal Consumption Expenditures: Nondurable Goods
2006-12-01,Personal Consumption Expenditures: Nondurable Goods increased by 51.40 Billions to $2.12 million Billions in 2006-12-01.,positive,2123.4,51.40000000000009,PCEND,Personal Consumption Expenditures: Nondurable Goods
2007-01-01,Personal Consumption Expenditures: Nondurable Goods decreased by 7.20 Billions to $2.12 million Billions in 2007-01-01.,negative,2116.2,-7.200000000000273,PCEND,Personal Consumption Expenditures: Nondurable Goods
2007-02-01,Personal Consumption Expenditures: Nondurable Goods increased by 4.70 Billions to $2.12 million Billions in 2007-02-01.,positive,2120.9,4.700000000000273,PCEND,Personal Consumption Expenditures: Nondurable Goods
2007-03-01,Personal Consumption Expenditures: Nondurable Goods increased by 29.30 Billions to $2.15 million Billions in 2007-03-01.,positive,2150.2,29.299999999999727,PCEND,Personal Consumption Expenditures: Nondurable Goods
