date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Personal Consumption Expenditures: Services remained unchanged at $5.85 million Billions in 2005-12-01.,neutral,5848.8,0.0,PCES,Personal Consumption Expenditures: Services
2006-01-01,Personal Consumption Expenditures: Services increased by 13.10 Billions to $5.86 million Billions in 2006-01-01.,neutral,5861.9,13.099999999999454,PCES,Personal Consumption Expenditures: Services
2006-02-01,Personal Consumption Expenditures: Services increased by 42.70 Billions to $5.90 million Billions in 2006-02-01.,positive,5904.6,42.70000000000073,PCES,Personal Consumption Expenditures: Services
2006-03-01,Personal Consumption Expenditures: Services increased by 38.80 Billions to $5.94 million Billions in 2006-03-01.,positive,5943.4,38.79999999999927,PCES,Personal Consumption Expenditures: Services
2006-04-01,Personal Consumption Expenditures: Services increased by 25.10 Billions to $5.97 million Billions in 2006-04-01.,positive,5968.5,25.100000000000364,PCES,Personal Consumption Expenditures: Services
2006-05-01,Personal Consumption Expenditures: Services increased by 40.00 Billions to $6.01 million Billions in 2006-05-01.,positive,6008.5,40.0,PCES,Personal Consumption Expenditures: Services
2006-06-01,Personal Consumption Expenditures: Services increased by 19.30 Billions to $6.03 million Billions in 2006-06-01.,neutral,6027.8,19.300000000000185,PCES,Personal Consumption Expenditures: Services
2006-07-01,Personal Consumption Expenditures: Services increased by 30.50 Billions to $6.06 million Billions in 2006-07-01.,positive,6058.3,30.5,PCES,Personal Consumption Expenditures: Services
2006-08-01,Personal Consumption Expenditures: Services increased by 14.90 Billions to $6.07 million Billions in 2006-08-01.,neutral,6073.2,14.899999999999636,PCES,Personal Consumption Expenditures: Services
2006-09-01,Personal Consumption Expenditures: Services increased by 36.30 Billions to $6.11 million Billions in 2006-09-01.,positive,6109.5,36.30000000000018,PCES,Personal Consumption Expenditures: Services
2006-10-01,Personal Consumption Expenditures: Services increased by 32.70 Billions to $6.14 million Billions in 2006-10-01.,positive,6142.2,32.69999999999982,PCES,Personal Consumption Expenditures: Services
2006-11-01,Personal Consumption Expenditures: Services increased by 21.60 Billions to $6.16 million Billions in 2006-11-01.,positive,6163.8,21.600000000000364,PCES,Personal Consumption Expenditures: Services
2006-12-01,Personal Consumption Expenditures: Services increased by 25.50 Billions to $6.19 million Billions in 2006-12-01.,positive,6189.3,25.5,PCES,Personal Consumption Expenditures: Services
2007-01-01,Personal Consumption Expenditures: Services increased by 49.70 Billions to $6.24 million Billions in 2007-01-01.,positive,6239.0,49.69999999999982,PCES,Personal Consumption Expenditures: Services
2007-02-01,Personal Consumption Expenditures: Services increased by 30.90 Billions to $6.27 million Billions in 2007-02-01.,positive,6269.9,30.899999999999636,PCES,Personal Consumption Expenditures: Services
2007-03-01,Personal Consumption Expenditures: Services increased by 13.20 Billions to $6.28 million Billions in 2007-03-01.,neutral,6283.1,13.200000000000728,PCES,Personal Consumption Expenditures: Services
2007-04-01,Personal Consumption Expenditures: Services increased by 28.20 Billions to $6.31 million Billions in 2007-04-01.,positive,6311.3,28.199999999999815,PCES,Personal Consumption Expenditures: Services
2007-05-01,Personal Consumption Expenditures: Services increased by 6.50 Billions to $6.32 million Billions in 2007-05-01.,neutral,6317.8,6.5,PCES,Personal Consumption Expenditures: Services
2007-06-01,Personal Consumption Expenditures: Services increased by 33.80 Billions to $6.35 million Billions in 2007-06-01.,positive,6351.6,33.80000000000018,PCES,Personal Consumption Expenditures: Services
2007-07-01,Personal Consumption Expenditures: Services increased by 24.10 Billions to $6.38 million Billions in 2007-07-01.,positive,6375.7,24.099999999999454,PCES,Personal Consumption Expenditures: Services
2007-08-01,Personal Consumption Expenditures: Services increased by 56.30 Billions to $6.43 million Billions in 2007-08-01.,positive,6432.0,56.30000000000018,PCES,Personal Consumption Expenditures: Services
2007-09-01,Personal Consumption Expenditures: Services increased by 15.40 Billions to $6.45 million Billions in 2007-09-01.,neutral,6447.4,15.399999999999636,PCES,Personal Consumption Expenditures: Services
2007-10-01,Personal Consumption Expenditures: Services increased by 29.30 Billions to $6.48 million Billions in 2007-10-01.,positive,6476.7,29.300000000000185,PCES,Personal Consumption Expenditures: Services
2007-11-01,Personal Consumption Expenditures: Services increased by 36.50 Billions to $6.51 million Billions in 2007-11-01.,positive,6513.2,36.5,PCES,Personal Consumption Expenditures: Services
2007-12-01,Personal Consumption Expenditures: Services increased by 23.70 Billions to $6.54 million Billions in 2007-12-01.,positive,6536.9,23.699999999999815,PCES,Personal Consumption Expenditures: Services
2008-01-01,Personal Consumption Expenditures: Services increased by 38.50 Billions to $6.58 million Billions in 2008-01-01.,positive,6575.4,38.5,PCES,Personal Consumption Expenditures: Services
2008-02-01,Personal Consumption Expenditures: Services increased by 19.50 Billions to $6.59 million Billions in 2008-02-01.,neutral,6594.9,19.5,PCES,Personal Consumption Expenditures: Services
2008-03-01,Personal Consumption Expenditures: Services increased by 29.00 Billions to $6.62 million Billions in 2008-03-01.,positive,6623.9,29.0,PCES,Personal Consumption Expenditures: Services
2008-04-01,Personal Consumption Expenditures: Services increased by 31.10 Billions to $6.66 million Billions in 2008-04-01.,positive,6655.0,31.100000000000364,PCES,Personal Consumption Expenditures: Services
2008-05-01,Personal Consumption Expenditures: Services increased by 32.90 Billions to $6.69 million Billions in 2008-05-01.,positive,6687.9,32.899999999999636,PCES,Personal Consumption Expenditures: Services
2008-06-01,Personal Consumption Expenditures: Services increased by 28.20 Billions to $6.72 million Billions in 2008-06-01.,positive,6716.1,28.200000000000728,PCES,Personal Consumption Expenditures: Services
2008-07-01,Personal Consumption Expenditures: Services increased by 12.80 Billions to $6.73 million Billions in 2008-07-01.,neutral,6728.9,12.799999999999272,PCES,Personal Consumption Expenditures: Services
2008-08-01,Personal Consumption Expenditures: Services decreased by 4.30 Billions to $6.72 million Billions in 2008-08-01.,negative,6724.6,-4.299999999999272,PCES,Personal Consumption Expenditures: Services
2008-09-01,Personal Consumption Expenditures: Services increased by 15.50 Billions to $6.74 million Billions in 2008-09-01.,neutral,6740.1,15.5,PCES,Personal Consumption Expenditures: Services
2008-10-01,Personal Consumption Expenditures: Services increased by 4.50 Billions to $6.74 million Billions in 2008-10-01.,neutral,6744.6,4.5,PCES,Personal Consumption Expenditures: Services
2008-11-01,Personal Consumption Expenditures: Services decreased by 14.80 Billions to $6.73 million Billions in 2008-11-01.,negative,6729.8,-14.800000000000182,PCES,Personal Consumption Expenditures: Services
2008-12-01,Personal Consumption Expenditures: Services decreased by 8.60 Billions to $6.72 million Billions in 2008-12-01.,negative,6721.2,-8.600000000000364,PCES,Personal Consumption Expenditures: Services
