date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Personal Income remained unchanged at $10.85 million Billions in 2005-12-01.,neutral,10853.1,0.0,PI,Personal Income
2006-01-01,Personal Income increased by 185.50 Billions to $11.04 million Billions in 2006-01-01.,positive,11038.6,185.5,PI,Personal Income
2006-02-01,Personal Income increased by 64.00 Billions to $11.10 million Billions in 2006-02-01.,positive,11102.6,64.0,PI,Personal Income
2006-03-01,Personal Income increased by 69.20 Billions to $11.17 million Billions in 2006-03-01.,positive,11171.8,69.19999999999891,PI,Personal Income
2006-04-01,Personal Income increased by 57.70 Billions to $11.23 million Billions in 2006-04-01.,positive,11229.5,57.70000000000073,PI,Personal Income
2006-05-01,Personal Income increased by 21.60 Billions to $11.25 million Billions in 2006-05-01.,neutral,11251.1,21.600000000000364,PI,Personal Income
2006-06-01,Personal Income increased by 41.70 Billions to $11.29 million Billions in 2006-06-01.,neutral,11292.8,41.69999999999891,PI,Personal Income
2006-07-01,Personal Income increased by 29.30 Billions to $11.32 million Billions in 2006-07-01.,neutral,11322.1,29.30000000000109,PI,Personal Income
2006-08-01,Personal Income increased by 24.70 Billions to $11.35 million Billions in 2006-08-01.,neutral,11346.8,24.69999999999891,PI,Personal Income
2006-09-01,Personal Income increased by 37.10 Billions to $11.38 million Billions in 2006-09-01.,neutral,11383.9,37.10000000000037,PI,Personal Income
2006-10-01,Personal Income increased by 33.90 Billions to $11.42 million Billions in 2006-10-01.,neutral,11417.8,33.899999999999636,PI,Personal Income
2006-11-01,Personal Income increased by 61.50 Billions to $11.48 million Billions in 2006-11-01.,positive,11479.3,61.5,PI,Personal Income
2006-12-01,Personal Income increased by 108.30 Billions to $11.59 million Billions in 2006-12-01.,positive,11587.6,108.30000000000108,PI,Personal Income
2007-01-01,Personal Income increased by 59.50 Billions to $11.65 million Billions in 2007-01-01.,positive,11647.1,59.5,PI,Personal Income
2007-02-01,Personal Income increased by 87.10 Billions to $11.73 million Billions in 2007-02-01.,positive,11734.2,87.10000000000036,PI,Personal Income
2007-03-01,Personal Income increased by 87.20 Billions to $11.82 million Billions in 2007-03-01.,positive,11821.4,87.19999999999891,PI,Personal Income
2007-04-01,Personal Income increased by 46.70 Billions to $11.87 million Billions in 2007-04-01.,neutral,11868.1,46.70000000000073,PI,Personal Income
2007-05-01,Personal Income increased by 40.60 Billions to $11.91 million Billions in 2007-05-01.,neutral,11908.7,40.60000000000037,PI,Personal Income
2007-06-01,Personal Income increased by 20.50 Billions to $11.93 million Billions in 2007-06-01.,neutral,11929.2,20.5,PI,Personal Income
2007-07-01,Personal Income increased by 26.50 Billions to $11.96 million Billions in 2007-07-01.,neutral,11955.7,26.5,PI,Personal Income
2007-08-01,Personal Income increased by 7.40 Billions to $11.96 million Billions in 2007-08-01.,neutral,11963.1,7.399999999999636,PI,Personal Income
2007-09-01,Personal Income increased by 62.40 Billions to $12.03 million Billions in 2007-09-01.,positive,12025.5,62.39999999999963,PI,Personal Income
2007-10-01,Personal Income increased by 21.30 Billions to $12.05 million Billions in 2007-10-01.,neutral,12046.8,21.299999999999272,PI,Personal Income
2007-11-01,Personal Income increased by 56.00 Billions to $12.10 million Billions in 2007-11-01.,positive,12102.8,56.0,PI,Personal Income
2007-12-01,Personal Income increased by 79.90 Billions to $12.18 million Billions in 2007-12-01.,positive,12182.7,79.90000000000146,PI,Personal Income
2008-01-01,Personal Income increased by 45.10 Billions to $12.23 million Billions in 2008-01-01.,neutral,12227.8,45.099999999998545,PI,Personal Income
2008-02-01,Personal Income increased by 37.10 Billions to $12.26 million Billions in 2008-02-01.,neutral,12264.9,37.10000000000037,PI,Personal Income
2008-03-01,Personal Income increased by 49.80 Billions to $12.31 million Billions in 2008-03-01.,neutral,12314.7,49.80000000000109,PI,Personal Income
2008-04-01,Personal Income decreased by 12.10 Billions to $12.30 million Billions in 2008-04-01.,negative,12302.6,-12.100000000000364,PI,Personal Income
2008-05-01,Personal Income increased by 576.70 Billions to $12.88 million Billions in 2008-05-01.,positive,12879.3,576.6999999999989,PI,Personal Income
2008-06-01,Personal Income decreased by 218.30 Billions to $12.66 million Billions in 2008-06-01.,negative,12661.0,-218.29999999999927,PI,Personal Income
2008-07-01,Personal Income decreased by 146.20 Billions to $12.51 million Billions in 2008-07-01.,negative,12514.8,-146.20000000000073,PI,Personal Income
2008-08-01,Personal Income decreased by 88.80 Billions to $12.43 million Billions in 2008-08-01.,negative,12426.0,-88.79999999999927,PI,Personal Income
2008-09-01,Personal Income increased by 19.00 Billions to $12.45 million Billions in 2008-09-01.,neutral,12445.0,19.0,PI,Personal Income
2008-10-01,Personal Income increased by 1.50 Billions to $12.45 million Billions in 2008-10-01.,neutral,12446.5,1.5,PI,Personal Income
2008-11-01,Personal Income decreased by 59.40 Billions to $12.39 million Billions in 2008-11-01.,negative,12387.1,-59.39999999999963,PI,Personal Income
2008-12-01,Personal Income decreased by 148.60 Billions to $12.24 million Billions in 2008-12-01.,negative,12238.5,-148.60000000000036,PI,Personal Income
2009-01-01,Personal Income decreased by 112.90 Billions to $12.13 million Billions in 2009-01-01.,negative,12125.6,-112.89999999999964,PI,Personal Income
2009-02-01,Personal Income decreased by 118.20 Billions to $12.01 million Billions in 2009-02-01.,negative,12007.4,-118.20000000000071,PI,Personal Income
2009-03-01,Personal Income decreased by 42.10 Billions to $11.97 million Billions in 2009-03-01.,negative,11965.3,-42.10000000000037,PI,Personal Income
2009-04-01,Personal Income increased by 44.10 Billions to $12.01 million Billions in 2009-04-01.,neutral,12009.4,44.10000000000037,PI,Personal Income
2009-05-01,Personal Income increased by 170.20 Billions to $12.18 million Billions in 2009-05-01.,positive,12179.6,170.20000000000073,PI,Personal Income
2009-06-01,Personal Income decreased by 136.70 Billions to $12.04 million Billions in 2009-06-01.,negative,12042.9,-136.70000000000073,PI,Personal Income
2009-07-01,Personal Income decreased by 44.50 Billions to $12.00 million Billions in 2009-07-01.,negative,11998.4,-44.5,PI,Personal Income
2009-08-01,Personal Income increased by 12.80 Billions to $12.01 million Billions in 2009-08-01.,neutral,12011.2,12.800000000001091,PI,Personal Income
2009-09-01,Personal Income increased by 49.90 Billions to $12.06 million Billions in 2009-09-01.,neutral,12061.1,49.89999999999963,PI,Personal Income
2009-10-01,Personal Income increased by 8.30 Billions to $12.07 million Billions in 2009-10-01.,neutral,12069.4,8.299999999999272,PI,Personal Income
2009-11-01,Personal Income increased by 60.20 Billions to $12.13 million Billions in 2009-11-01.,positive,12129.6,60.20000000000073,PI,Personal Income
2009-12-01,Personal Income increased by 58.60 Billions to $12.19 million Billions in 2009-12-01.,positive,12188.2,58.60000000000037,PI,Personal Income
2010-01-01,Personal Income increased by 79.50 Billions to $12.27 million Billions in 2010-01-01.,positive,12267.7,79.5,PI,Personal Income
2010-02-01,Personal Income decreased by 0.10 Billions to $12.27 million Billions in 2010-02-01.,negative,12267.6,-0.1000000000003638,PI,Personal Income
2010-03-01,Personal Income increased by 63.30 Billions to $12.33 million Billions in 2010-03-01.,positive,12330.9,63.29999999999927,PI,Personal Income
2010-04-01,Personal Income increased by 110.90 Billions to $12.44 million Billions in 2010-04-01.,positive,12441.8,110.89999999999964,PI,Personal Income
2010-05-01,Personal Income increased by 101.90 Billions to $12.54 million Billions in 2010-05-01.,positive,12543.7,101.90000000000146,PI,Personal Income
2010-06-01,Personal Income increased by 7.00 Billions to $12.55 million Billions in 2010-06-01.,neutral,12550.7,7.0,PI,Personal Income
2010-07-01,Personal Income increased by 38.00 Billions to $12.59 million Billions in 2010-07-01.,neutral,12588.7,38.0,PI,Personal Income
2010-08-01,Personal Income increased by 64.20 Billions to $12.65 million Billions in 2010-08-01.,positive,12652.9,64.19999999999891,PI,Personal Income
2010-09-01,Personal Income increased by 20.50 Billions to $12.67 million Billions in 2010-09-01.,neutral,12673.4,20.5,PI,Personal Income
2010-10-01,Personal Income increased by 50.20 Billions to $12.72 million Billions in 2010-10-01.,positive,12723.6,50.20000000000073,PI,Personal Income
2010-11-01,Personal Income increased by 41.90 Billions to $12.77 million Billions in 2010-11-01.,neutral,12765.5,41.89999999999963,PI,Personal Income
