date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Producer Price Index remained unchanged at 163.00 Percent in 2005-12-01.,positive,163.0,0.0,PPIACO,Producer Price Index
2006-01-01,Producer Price Index increased by 1.30 Percent to 164.30 Percent in 2006-01-01.,positive,164.3,1.3000000000000114,PPIACO,Producer Price Index
2006-02-01,Producer Price Index decreased by 2.50 Percent to 161.80 Percent in 2006-02-01.,negative,161.8,-2.5,PPIACO,Producer Price Index
2006-03-01,Producer Price Index increased by 0.40 Percent to 162.20 Percent in 2006-03-01.,positive,162.2,0.3999999999999772,PPIACO,Producer Price Index
2006-04-01,Producer Price Index increased by 2.10 Percent to 164.30 Percent in 2006-04-01.,neutral,164.3,2.1000000000000227,PPIACO,Producer Price Index
2006-05-01,Producer Price Index increased by 1.50 Percent to 165.80 Percent in 2006-05-01.,positive,165.8,1.5,PPIACO,Producer Price Index
2006-06-01,Producer Price Index increased by 0.30 Percent to 166.10 Percent in 2006-06-01.,positive,166.1,0.2999999999999829,PPIACO,Producer Price Index
2006-07-01,Producer Price Index increased by 0.70 Percent to 166.80 Percent in 2006-07-01.,positive,166.8,0.700000000000017,PPIACO,Producer Price Index
2006-08-01,Producer Price Index increased by 1.10 Percent to 167.90 Percent in 2006-08-01.,positive,167.9,1.0999999999999943,PPIACO,Producer Price Index
2006-09-01,Producer Price Index decreased by 2.50 Percent to 165.40 Percent in 2006-09-01.,negative,165.4,-2.5,PPIACO,Producer Price Index
2006-10-01,Producer Price Index decreased by 3.20 Percent to 162.20 Percent in 2006-10-01.,negative,162.2,-3.200000000000017,PPIACO,Producer Price Index
2006-11-01,Producer Price Index increased by 2.40 Percent to 164.60 Percent in 2006-11-01.,neutral,164.6,2.4000000000000057,PPIACO,Producer Price Index
2006-12-01,Producer Price Index increased by 1.00 Percent to 165.60 Percent in 2006-12-01.,positive,165.6,1.0,PPIACO,Producer Price Index
2007-01-01,Producer Price Index decreased by 1.60 Percent to 164.00 Percent in 2007-01-01.,negative,164.0,-1.5999999999999943,PPIACO,Producer Price Index
2007-02-01,Producer Price Index increased by 2.80 Percent to 166.80 Percent in 2007-02-01.,neutral,166.8,2.8000000000000114,PPIACO,Producer Price Index
2007-03-01,Producer Price Index increased by 2.50 Percent to 169.30 Percent in 2007-03-01.,neutral,169.3,2.5,PPIACO,Producer Price Index
2007-04-01,Producer Price Index increased by 2.10 Percent to 171.40 Percent in 2007-04-01.,neutral,171.4,2.0999999999999943,PPIACO,Producer Price Index
2007-05-01,Producer Price Index increased by 1.90 Percent to 173.30 Percent in 2007-05-01.,positive,173.3,1.9000000000000057,PPIACO,Producer Price Index
2007-06-01,Producer Price Index increased by 0.50 Percent to 173.80 Percent in 2007-06-01.,positive,173.8,0.5,PPIACO,Producer Price Index
2007-07-01,Producer Price Index increased by 1.30 Percent to 175.10 Percent in 2007-07-01.,positive,175.1,1.299999999999983,PPIACO,Producer Price Index
2007-08-01,Producer Price Index decreased by 2.70 Percent to 172.40 Percent in 2007-08-01.,negative,172.4,-2.6999999999999886,PPIACO,Producer Price Index
2007-09-01,Producer Price Index increased by 1.10 Percent to 173.50 Percent in 2007-09-01.,positive,173.5,1.0999999999999943,PPIACO,Producer Price Index
2007-10-01,Producer Price Index increased by 1.20 Percent to 174.70 Percent in 2007-10-01.,positive,174.7,1.1999999999999886,PPIACO,Producer Price Index
2007-11-01,Producer Price Index increased by 4.30 Percent to 179.00 Percent in 2007-11-01.,negative,179.0,4.300000000000011,PPIACO,Producer Price Index
2007-12-01,Producer Price Index decreased by 0.40 Percent to 178.60 Percent in 2007-12-01.,neutral,178.6,-0.4000000000000057,PPIACO,Producer Price Index
2008-01-01,Producer Price Index increased by 2.40 Percent to 181.00 Percent in 2008-01-01.,neutral,181.0,2.4000000000000057,PPIACO,Producer Price Index
2008-02-01,Producer Price Index increased by 1.70 Percent to 182.70 Percent in 2008-02-01.,positive,182.7,1.6999999999999886,PPIACO,Producer Price Index
2008-03-01,Producer Price Index increased by 5.20 Percent to 187.90 Percent in 2008-03-01.,negative,187.9,5.200000000000017,PPIACO,Producer Price Index
2008-04-01,Producer Price Index increased by 3.00 Percent to 190.90 Percent in 2008-04-01.,neutral,190.9,3.0,PPIACO,Producer Price Index
2008-05-01,Producer Price Index increased by 5.70 Percent to 196.60 Percent in 2008-05-01.,negative,196.6,5.699999999999989,PPIACO,Producer Price Index
2008-06-01,Producer Price Index increased by 3.90 Percent to 200.50 Percent in 2008-06-01.,negative,200.5,3.9000000000000057,PPIACO,Producer Price Index
2008-07-01,Producer Price Index increased by 5.00 Percent to 205.50 Percent in 2008-07-01.,negative,205.5,5.0,PPIACO,Producer Price Index
2008-08-01,Producer Price Index decreased by 6.50 Percent to 199.00 Percent in 2008-08-01.,negative,199.0,-6.5,PPIACO,Producer Price Index
2008-09-01,Producer Price Index decreased by 2.10 Percent to 196.90 Percent in 2008-09-01.,negative,196.9,-2.0999999999999943,PPIACO,Producer Price Index
2008-10-01,Producer Price Index decreased by 10.50 Percent to 186.40 Percent in 2008-10-01.,negative,186.4,-10.5,PPIACO,Producer Price Index
2008-11-01,Producer Price Index decreased by 9.60 Percent to 176.80 Percent in 2008-11-01.,negative,176.8,-9.599999999999994,PPIACO,Producer Price Index
2008-12-01,Producer Price Index decreased by 5.90 Percent to 170.90 Percent in 2008-12-01.,negative,170.9,-5.900000000000006,PPIACO,Producer Price Index
2009-01-01,Producer Price Index increased by 0.30 Percent to 171.20 Percent in 2009-01-01.,positive,171.2,0.2999999999999829,PPIACO,Producer Price Index
