date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Total Consumer Credit remained unchanged at $2.29 billion Billions in 2005-12-01.,neutral,2290928.13,0.0,TOTALSL,Total Consumer Credit
2006-01-01,Total Consumer Credit increased by 76542.95 Billions to $2.37 billion Billions in 2006-01-01.,negative,2367471.08,76542.95000000019,TOTALSL,Total Consumer Credit
2006-02-01,Total Consumer Credit increased by 7506.24 Billions to $2.37 billion Billions in 2006-02-01.,negative,2374977.32,7506.239999999758,TOTALSL,Total Consumer Credit
2006-03-01,Total Consumer Credit increased by 10830.57 Billions to $2.39 billion Billions in 2006-03-01.,negative,2385807.89,10830.570000000298,TOTALSL,Total Consumer Credit
2006-04-01,Total Consumer Credit increased by 11872.71 Billions to $2.40 billion Billions in 2006-04-01.,negative,2397680.6,11872.709999999965,TOTALSL,Total Consumer Credit
2006-05-01,Total Consumer Credit increased by 9480.85 Billions to $2.41 billion Billions in 2006-05-01.,negative,2407161.45,9480.850000000091,TOTALSL,Total Consumer Credit
2006-06-01,Total Consumer Credit decreased by 11348.27 Billions to $2.40 billion Billions in 2006-06-01.,negative,2395813.18,-11348.27000000002,TOTALSL,Total Consumer Credit
2006-07-01,Total Consumer Credit increased by 7286.07 Billions to $2.40 billion Billions in 2006-07-01.,negative,2403099.25,7286.069999999832,TOTALSL,Total Consumer Credit
2006-08-01,Total Consumer Credit increased by 12632.78 Billions to $2.42 billion Billions in 2006-08-01.,negative,2415732.03,12632.779999999795,TOTALSL,Total Consumer Credit
2006-09-01,Total Consumer Credit increased by 11081.20 Billions to $2.43 billion Billions in 2006-09-01.,negative,2426813.23,11081.200000000186,TOTALSL,Total Consumer Credit
2006-10-01,Total Consumer Credit increased by 2586.63 Billions to $2.43 billion Billions in 2006-10-01.,negative,2429399.86,2586.629999999888,TOTALSL,Total Consumer Credit
2006-11-01,Total Consumer Credit increased by 11349.21 Billions to $2.44 billion Billions in 2006-11-01.,negative,2440749.07,11349.209999999965,TOTALSL,Total Consumer Credit
2006-12-01,Total Consumer Credit increased by 15966.63 Billions to $2.46 billion Billions in 2006-12-01.,negative,2456715.7,15966.630000000354,TOTALSL,Total Consumer Credit
