date,text,sentiment,value,change,series_id,indicator_name
2020-12-01,Consumer Sentiment Index remained unchanged at 80.70 Index in 2020-12-01.,neutral,80.7,0.0,UMCSENT,Consumer Sentiment Index
2021-01-01,Consumer Sentiment Index decreased by 1.70 Index to 79.00 Index in 2021-01-01.,neutral,79.0,-1.7000000000000028,UMCSENT,Consumer Sentiment Index
2021-02-01,Consumer Sentiment Index decreased by 2.20 Index to 76.80 Index in 2021-02-01.,neutral,76.8,-2.200000000000003,UMCSENT,Consumer Sentiment Index
2021-03-01,Consumer Sentiment Index increased by 8.10 Index to 84.90 Index in 2021-03-01.,positive,84.9,8.100000000000009,UMCSENT,Consumer Sentiment Index
2021-04-01,Consumer Sentiment Index increased by 3.40 Index to 88.30 Index in 2021-04-01.,positive,88.3,3.3999999999999915,UMCSENT,Consumer Sentiment Index
2021-05-01,Consumer Sentiment Index decreased by 5.40 Index to 82.90 Index in 2021-05-01.,negative,82.9,-5.3999999999999915,UMCSENT,Consumer Sentiment Index
2021-06-01,Consumer Sentiment Index increased by 2.60 Index to 85.50 Index in 2021-06-01.,neutral,85.5,2.5999999999999943,UMCSENT,Consumer Sentiment Index
2021-07-01,Consumer Sentiment Index decreased by 4.30 Index to 81.20 Index in 2021-07-01.,negative,81.2,-4.299999999999997,UMCSENT,Consumer Sentiment Index
2021-08-01,Consumer Sentiment Index decreased by 10.90 Index to 70.30 Index in 2021-08-01.,negative,70.3,-10.900000000000006,UMCSENT,Consumer Sentiment Index
2021-09-01,Consumer Sentiment Index increased by 2.50 Index to 72.80 Index in 2021-09-01.,neutral,72.8,2.5,UMCSENT,Consumer Sentiment Index
2021-10-01,Consumer Sentiment Index decreased by 1.10 Index to 71.70 Index in 2021-10-01.,neutral,71.7,-1.0999999999999943,UMCSENT,Consumer Sentiment Index
2021-11-01,Consumer Sentiment Index decreased by 4.30 Index to 67.40 Index in 2021-11-01.,negative,67.4,-4.299999999999997,UMCSENT,Consumer Sentiment Index
2021-12-01,Consumer Sentiment Index increased by 3.20 Index to 70.60 Index in 2021-12-01.,positive,70.6,3.1999999999999886,UMCSENT,Consumer Sentiment Index
2022-01-01,Consumer Sentiment Index decreased by 3.40 Index to 67.20 Index in 2022-01-01.,negative,67.2,-3.3999999999999915,UMCSENT,Consumer Sentiment Index
2022-02-01,Consumer Sentiment Index decreased by 4.40 Index to 62.80 Index in 2022-02-01.,negative,62.8,-4.400000000000006,UMCSENT,Consumer Sentiment Index
2022-03-01,Consumer Sentiment Index decreased by 3.40 Index to 59.40 Index in 2022-03-01.,negative,59.4,-3.3999999999999986,UMCSENT,Consumer Sentiment Index
