date,text,sentiment,value,change,series_id,indicator_name
2005-12-01,Real Personal Income Excluding Current Transfer Receipts remained unchanged at $11.21 million Billions in 2005-12-01.,neutral,11206.7,0.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-01-01,Real Personal Income Excluding Current Transfer Receipts increased by 103.20 Billions to $11.31 million Billions in 2006-01-01.,positive,11309.9,103.19999999999892,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-02-01,Real Personal Income Excluding Current Transfer Receipts increased by 79.80 Billions to $11.39 million Billions in 2006-02-01.,positive,11389.7,79.80000000000109,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-03-01,Real Personal Income Excluding Current Transfer Receipts increased by 51.90 Billions to $11.44 million Billions in 2006-03-01.,positive,11441.6,51.89999999999963,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-04-01,Real Personal Income Excluding Current Transfer Receipts increased by 12.30 Billions to $11.45 million Billions in 2006-04-01.,neutral,11453.9,12.299999999999272,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-05-01,Real Personal Income Excluding Current Transfer Receipts decreased by 16.80 Billions to $11.44 million Billions in 2006-05-01.,negative,11437.1,-16.799999999999272,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-06-01,Real Personal Income Excluding Current Transfer Receipts increased by 10.20 Billions to $11.45 million Billions in 2006-06-01.,neutral,11447.3,10.199999999998909,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-07-01,Real Personal Income Excluding Current Transfer Receipts decreased by 16.70 Billions to $11.43 million Billions in 2006-07-01.,negative,11430.6,-16.69999999999891,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-08-01,Real Personal Income Excluding Current Transfer Receipts decreased by 16.10 Billions to $11.41 million Billions in 2006-08-01.,negative,11414.5,-16.100000000000364,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-09-01,Real Personal Income Excluding Current Transfer Receipts increased by 72.10 Billions to $11.49 million Billions in 2006-09-01.,positive,11486.6,72.10000000000036,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-10-01,Real Personal Income Excluding Current Transfer Receipts increased by 76.00 Billions to $11.56 million Billions in 2006-10-01.,positive,11562.6,76.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-11-01,Real Personal Income Excluding Current Transfer Receipts increased by 62.30 Billions to $11.62 million Billions in 2006-11-01.,positive,11624.9,62.29999999999927,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2006-12-01,Real Personal Income Excluding Current Transfer Receipts increased by 58.60 Billions to $11.68 million Billions in 2006-12-01.,positive,11683.5,58.60000000000037,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-01-01,Real Personal Income Excluding Current Transfer Receipts decreased by 16.80 Billions to $11.67 million Billions in 2007-01-01.,negative,11666.7,-16.799999999999272,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-02-01,Real Personal Income Excluding Current Transfer Receipts increased by 47.00 Billions to $11.71 million Billions in 2007-02-01.,positive,11713.7,47.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-03-01,Real Personal Income Excluding Current Transfer Receipts increased by 51.80 Billions to $11.77 million Billions in 2007-03-01.,positive,11765.5,51.79999999999927,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-04-01,Real Personal Income Excluding Current Transfer Receipts increased by 36.00 Billions to $11.80 million Billions in 2007-04-01.,positive,11801.5,36.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-05-01,Real Personal Income Excluding Current Transfer Receipts increased by 10.00 Billions to $11.81 million Billions in 2007-05-01.,neutral,11811.5,10.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-06-01,Real Personal Income Excluding Current Transfer Receipts decreased by 3.70 Billions to $11.81 million Billions in 2007-06-01.,negative,11807.8,-3.700000000000728,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-07-01,Real Personal Income Excluding Current Transfer Receipts increased by 4.20 Billions to $11.81 million Billions in 2007-07-01.,neutral,11812.0,4.200000000000728,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-08-01,Real Personal Income Excluding Current Transfer Receipts decreased by 13.40 Billions to $11.80 million Billions in 2007-08-01.,negative,11798.6,-13.399999999999636,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-09-01,Real Personal Income Excluding Current Transfer Receipts increased by 9.70 Billions to $11.81 million Billions in 2007-09-01.,neutral,11808.3,9.699999999998909,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-10-01,Real Personal Income Excluding Current Transfer Receipts decreased by 16.70 Billions to $11.79 million Billions in 2007-10-01.,negative,11791.6,-16.69999999999891,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-11-01,Real Personal Income Excluding Current Transfer Receipts decreased by 6.70 Billions to $11.78 million Billions in 2007-11-01.,negative,11784.9,-6.700000000000728,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2007-12-01,Real Personal Income Excluding Current Transfer Receipts increased by 40.40 Billions to $11.83 million Billions in 2007-12-01.,positive,11825.3,40.39999999999963,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-01-01,Real Personal Income Excluding Current Transfer Receipts increased by 4.90 Billions to $11.83 million Billions in 2008-01-01.,neutral,11830.2,4.900000000001455,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-02-01,Real Personal Income Excluding Current Transfer Receipts increased by 11.00 Billions to $11.84 million Billions in 2008-02-01.,neutral,11841.2,11.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-03-01,Real Personal Income Excluding Current Transfer Receipts increased by 3.50 Billions to $11.84 million Billions in 2008-03-01.,neutral,11844.7,3.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-04-01,Real Personal Income Excluding Current Transfer Receipts decreased by 69.70 Billions to $11.78 million Billions in 2008-04-01.,negative,11775.0,-69.70000000000073,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-05-01,Real Personal Income Excluding Current Transfer Receipts decreased by 46.40 Billions to $11.73 million Billions in 2008-05-01.,negative,11728.6,-46.39999999999963,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-06-01,Real Personal Income Excluding Current Transfer Receipts decreased by 59.50 Billions to $11.67 million Billions in 2008-06-01.,negative,11669.1,-59.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-07-01,Real Personal Income Excluding Current Transfer Receipts decreased by 45.20 Billions to $11.62 million Billions in 2008-07-01.,negative,11623.9,-45.20000000000073,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-08-01,Real Personal Income Excluding Current Transfer Receipts increased by 56.20 Billions to $11.68 million Billions in 2008-08-01.,positive,11680.1,56.20000000000073,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-09-01,Real Personal Income Excluding Current Transfer Receipts decreased by 1.80 Billions to $11.68 million Billions in 2008-09-01.,negative,11678.3,-1.8000000000010914,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-10-01,Real Personal Income Excluding Current Transfer Receipts increased by 71.50 Billions to $11.75 million Billions in 2008-10-01.,positive,11749.8,71.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-11-01,Real Personal Income Excluding Current Transfer Receipts increased by 62.60 Billions to $11.81 million Billions in 2008-11-01.,positive,11812.4,62.60000000000037,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2008-12-01,Real Personal Income Excluding Current Transfer Receipts decreased by 131.90 Billions to $11.68 million Billions in 2008-12-01.,negative,11680.5,-131.89999999999964,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-01-01,Real Personal Income Excluding Current Transfer Receipts decreased by 204.70 Billions to $11.48 million Billions in 2009-01-01.,negative,11475.8,-204.70000000000073,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-02-01,Real Personal Income Excluding Current Transfer Receipts decreased by 179.40 Billions to $11.30 million Billions in 2009-02-01.,negative,11296.4,-179.39999999999964,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-03-01,Real Personal Income Excluding Current Transfer Receipts decreased by 71.10 Billions to $11.23 million Billions in 2009-03-01.,negative,11225.3,-71.10000000000036,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-04-01,Real Personal Income Excluding Current Transfer Receipts decreased by 9.60 Billions to $11.22 million Billions in 2009-04-01.,negative,11215.7,-9.599999999998545,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-05-01,Real Personal Income Excluding Current Transfer Receipts decreased by 8.50 Billions to $11.21 million Billions in 2009-05-01.,negative,11207.2,-8.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-06-01,Real Personal Income Excluding Current Transfer Receipts decreased by 86.50 Billions to $11.12 million Billions in 2009-06-01.,negative,11120.7,-86.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-07-01,Real Personal Income Excluding Current Transfer Receipts decreased by 53.40 Billions to $11.07 million Billions in 2009-07-01.,negative,11067.3,-53.400000000001455,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-08-01,Real Personal Income Excluding Current Transfer Receipts decreased by 26.90 Billions to $11.04 million Billions in 2009-08-01.,negative,11040.4,-26.899999999999636,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-09-01,Real Personal Income Excluding Current Transfer Receipts decreased by 7.50 Billions to $11.03 million Billions in 2009-09-01.,negative,11032.9,-7.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-10-01,Real Personal Income Excluding Current Transfer Receipts decreased by 1.40 Billions to $11.03 million Billions in 2009-10-01.,negative,11031.5,-1.3999999999996362,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-11-01,Real Personal Income Excluding Current Transfer Receipts increased by 32.20 Billions to $11.06 million Billions in 2009-11-01.,positive,11063.7,32.20000000000073,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2009-12-01,Real Personal Income Excluding Current Transfer Receipts increased by 27.00 Billions to $11.09 million Billions in 2009-12-01.,neutral,11090.7,27.0,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-01-01,Real Personal Income Excluding Current Transfer Receipts decreased by 25.50 Billions to $11.07 million Billions in 2010-01-01.,negative,11065.2,-25.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-02-01,Real Personal Income Excluding Current Transfer Receipts decreased by 9.30 Billions to $11.06 million Billions in 2010-02-01.,negative,11055.9,-9.300000000001091,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-03-01,Real Personal Income Excluding Current Transfer Receipts increased by 43.50 Billions to $11.10 million Billions in 2010-03-01.,positive,11099.4,43.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-04-01,Real Personal Income Excluding Current Transfer Receipts increased by 119.50 Billions to $11.22 million Billions in 2010-04-01.,positive,11218.9,119.5,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-05-01,Real Personal Income Excluding Current Transfer Receipts increased by 107.80 Billions to $11.33 million Billions in 2010-05-01.,positive,11326.7,107.80000000000108,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-06-01,Real Personal Income Excluding Current Transfer Receipts increased by 12.70 Billions to $11.34 million Billions in 2010-06-01.,neutral,11339.4,12.699999999998909,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-07-01,Real Personal Income Excluding Current Transfer Receipts increased by 28.70 Billions to $11.37 million Billions in 2010-07-01.,neutral,11368.1,28.700000000000728,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-08-01,Real Personal Income Excluding Current Transfer Receipts increased by 19.60 Billions to $11.39 million Billions in 2010-08-01.,neutral,11387.7,19.600000000000364,W875RX1,Real Personal Income Excluding Current Transfer Receipts
2010-09-01,Real Personal Income Excluding Current Transfer Receipts increased by 11.90 Billions to $11.40 million Billions in 2010-09-01.,neutral,11399.6,11.899999999999636,W875RX1,Real Personal Income Excluding Current Transfer Receipts
